"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2026-02-05 05:00:00,350.380192222,-0.379330000,33.213085556,24.828690000,34.404810000,41.101917778,17.116207778,33.710703333,34.878294444,13.847073333,20.856766667,34.951288889,30.984357778,30.486996667,-0.379330000
2026-02-05 04:45:00,329.014255556,-0.377757778,35.759221111,26.292401111,35.245130000,40.939455556,16.738233333,32.812247778,31.616294444,9.967713333,17.019415556,30.658397778,25.763481111,26.202264444,-0.377757778
2026-02-05 04:30:00,319.947450000,-0.376470000,34.110375556,24.612728889,34.554346667,37.934333333,14.351528889,30.810391111,32.160820000,10.232706667,17.169898889,31.924537778,25.995930000,26.089852222,-0.376470000
2026-02-05 04:15:00,321.196817778,-0.379848889,32.703625556,24.250215556,34.159100000,38.111816667,14.572515556,30.699864444,32.713822222,11.075253333,17.528915556,31.524857778,26.776302222,27.080528889,-0.379848889
2026-02-05 04:00:00,316.150277778,-0.380894444,33.045105556,24.133911111,34.490046667,38.210533333,14.382402222,30.987213333,32.457118889,10.773987778,16.838604444,30.141294444,25.083843333,25.606216667,-0.380894444
2026-02-05 03:45:00,322.920694444,-0.383256667,33.414375556,24.512743333,34.507732222,39.599200000,14.692515556,31.270940000,31.738505556,10.159052222,17.634466667,31.654490000,26.637128889,27.099544444,-0.383256667
2026-02-05 03:30:00,322.344610000,-0.392981111,34.542150000,24.999698889,34.924047778,39.756193333,14.909640000,31.036907778,31.326283333,9.944258889,17.016921111,31.198595556,26.022462222,26.667451111,-0.392981111
2026-02-05 03:15:00,325.999620000,-0.392982222,35.738754444,26.290034444,36.033497778,38.915483333,14.832843333,31.200591111,31.529298889,10.127584444,17.126723333,31.345561111,26.272966667,26.586281111,-0.392982222
2026-02-05 03:00:00,321.949681111,-0.390555556,34.109142222,25.047128889,36.115291111,38.384484444,14.282452222,30.745954444,32.844092222,11.172338889,17.380631111,30.588870000,25.550780000,25.728515556,-0.390555556
2026-02-05 02:45:00,302.714283333,-0.388016667,30.354176667,21.280370000,32.455296667,38.760315556,14.903461111,31.173261111,32.365504444,10.772405556,16.595585556,28.173266667,22.779307778,23.101332222,-0.388016667
2026-02-05 02:30:00,304.928302222,-0.391443333,31.010924444,22.797374444,32.927085556,40.176825556,15.066440000,31.776504444,31.309850000,9.912974444,17.073617778,27.768496667,22.257663333,22.850545556,-0.391443333
2026-02-05 02:15:00,281.160486667,-0.388803333,28.712436667,17.929902222,28.592477778,38.050583333,11.832306667,29.359157778,31.212738889,9.792037778,16.589206667,26.796251111,20.656158889,21.637228889,-0.388803333
2026-02-05 02:00:00,281.908603333,-0.386035556,28.429062222,17.331908889,28.599351111,36.690861111,11.947518889,29.468330000,31.061821111,10.220862222,17.230882222,27.404090000,21.155648889,22.368266667,-0.386035556
2026-02-05 01:45:00,278.454975556,-0.384632222,27.608714444,16.590146667,28.144870000,35.729262222,10.550678889,28.058547778,32.124564444,11.024973333,16.662873333,27.602114444,21.705156667,22.653073333,-0.384632222
2026-02-05 01:30:00,280.295326667,-0.387652222,28.540748889,17.153662222,28.653496667,36.035042222,10.712330000,28.666038889,32.284658889,11.018440000,17.017015556,27.085065556,21.353608889,21.775218889,-0.387652222
2026-02-05 01:15:00,277.809254444,-0.385528889,28.093622222,17.362495556,28.632614444,37.107448889,11.018422222,28.423035556,31.183604444,10.042198889,16.880805556,26.938937778,20.612200000,21.513868889,-0.385528889
2026-02-05 01:00:00,281.214374444,-0.380126667,28.727954444,17.419908889,28.642008889,37.369516667,11.585166667,29.546195556,31.100872222,9.900183333,16.792593333,27.283340000,20.976350000,21.870284444,-0.380126667
2026-02-05 00:45:00,286.735088889,-0.379314444,28.387612222,17.499201111,28.463027778,36.483683333,11.359408889,29.139403333,31.418697778,10.215032222,17.143251111,28.692842222,23.687248889,24.245680000,-0.379314444
2026-02-05 00:30:00,281.842910000,-0.377373333,27.710924444,17.896756667,28.727100000,36.520725556,11.518873333,29.160964444,32.821864444,11.215484444,17.271095556,27.052683333,20.609692222,21.336745556,-0.377373333
2026-02-05 00:15:00,285.299313333,-0.380705556,27.863523333,18.246718889,28.536052222,36.089432222,11.043388889,29.164101111,32.960030000,11.334194444,17.069766667,28.958218889,21.731390000,22.302496667,-0.380705556
2026-02-05 00:00:00,274.433502222,-0.380777778,24.231665556,13.140702222,24.410528889,36.810370000,10.302412222,28.225617778,32.217824444,10.518765556,17.348360000,30.194072222,23.799535556,23.233647778,-0.380777778
